ts,magnitudes,longitude,latitude,,
2024/2/21 14:51:44.332,1.9,82.711,43.962,,
2024/2/21 14:29:31.591,3,82.721,43.95,,
2024/2/21 13:2:40.769,2.1,84.272,43.531,,
2024/2/21 12:58:1.711,2.6,78.66,41.139,,
2024/2/21 10:47:43.207,2.5,87.079,42.512,,
2024/2/21 9:44:12.38,2.5,89.283,44.791,,
2024/2/21 9:34:22.783,3.1,78.617,41.055,,
2024/2/21 8:52:53.911,2,78.877,41.367,,
2024/2/21 7:18:46.649,1.9,78.837,41.295,,
2024/2/21 6:9:34.467,3.2,78.886,37.247,,
2024/2/21 4:42:8.787,1.9,78.401,40.944,,
2024/2/21 2:4:2.269,2.2,78.921,41.367,,
2024/2/21 0:17:14.765,2,85.052,42.466,,
2024/2/20 23:36:33.433,1.9,78.682,41.262,,
2024/2/20 23:31:41.239,2,78.657,41.076,,
2024/2/20 21:26:18.339,1.9,78.701,41.259,,
2024/2/20 21:25:6.074,2.5,78.715,41.243,,
2024/2/20 21:8:46.099,2.3,83.19,44.531,,
2024/2/20 20:51:25.576,2.2,87.615,43.214,,
2024/2/20 18:58:35.95,2.6,83.925,41.848,,
2024/2/20 18:57:57.298,5,94.406,42.939,,
2024/2/20 18:56:35.056,2,78.901,41.356,,
2024/2/20 18:35:56.25,1.9,85.423,42.544,,
2024/2/20 18:31:46.476,2.1,78.742,36.728,,
2024/2/20 18:25:6.197,1.9,86.088,43.621,,
2024/2/20 17:8:34.257,3.3,83.975,41.935,,
2024/2/20 15:54:13.017,2.9,84.324,40.924,,
2024/2/20 14:30:35.126,2.3,78.947,41.357,,
2024/2/20 13:38:4.845,2.3,83.84,41.976,,
2024/2/20 13:30:9.911,2.3,78.773,41.17,,
2024/2/20 12:11:8.683,2.6,78.713,41.261,,
2024/2/20 12:7:31.746,2.7,88.359,48.329,,
2024/2/20 8:16:56.209,1.9,78.749,41.147,,
2024/2/20 6:3:46.564,2.5,77.837,40.703,,
2024/2/20 5:47:5.979,2,79.082,40.958,,
2024/2/20 2:28:24.96,1.8,78.743,41.064,,
2024/2/20 2:26:53.612,2.1,78.658,41.104,,
2024/2/20 1:35:48.945,1.9,83.989,41.26,,
2024/2/20 1:8:41.062,2.4,84.101,41.238,,
2024/2/20 0:34:45.83,2.1,78.523,40.968,,
2024/2/19 22:38:28.555,1.9,78.725,41.308,,
2024/2/19 22:36:8.121,3,78.714,41.313,,
2024/2/19 21:55:31.752,3,77.717,40.25,,
2024/2/19 21:9:0.693,2.1,78.891,41.298,,
2024/2/19 20:14:42.725,2.1,78.818,41.304,,
2024/2/19 17:49:26.914,1.9,77.335,40.411,,
2024/2/19 17:10:39.649,1.9,78.9,41.38,,
2024/2/19 16:13:49.126,2,78.607,41.26,,
2024/2/19 15:21:24.815,2.5,78.795,41.295,,
2024/2/19 15:1:7.68,2.5,78.817,41.304,,
2024/2/19 14:47:33.887,1.9,78.681,41.124,,
